,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
0,102001,0,United States,country,,38.0,33.0,33.0,34.0,36.0,37.0,36.0,36.0,37.0,36.0,36.0,35.0,37.0,33.0,33.0,35.0,36.0,37.0,37.0,36.0,37.0,36.0,36.0,37.0,39.0,34.0,35.0,39.0,39.0,37.0,38.0,40.0,40.0,40.0,41.0,41.0,41.0,35.0,38.0,38.0,37.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,40.0,35.0,34.0,34.0,34.0,35.0,35.0,34.0,34.0
1,394913,1,"New York, NY",msa,NY,73.0,67.0,55.0,56.0,57.0,62.0,66.0,63.0,63.0,63.0,60.0,59.0,65.0,63.0,56.0,55.0,56.0,58.0,62.0,61.0,61.0,62.0,61.0,60.0,65.0,65.0,54.0,55.0,64.0,64.0,52.0,56.0,61.0,64.0,66.0,67.0,66.0,56.0,61.0,68.0,69.0,71.0,72.0,71.0,71.0,72.0,72.0,65.0,68.0,71.0,67.0,62.0,63.0,66.0,67.0,62.0,56.0
2,753899,2,"Los Angeles, CA",msa,CA,35.0,29.0,31.0,30.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,30.0,30.0,31.0,31.0,33.0,32.0,32.0,33.0,32.0,32.0,33.0,35.0,30.0,31.0,34.0,32.0,31.0,32.0,32.0,33.0,34.0,34.0,34.0,36.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,31.0,33.0,28.0,28.0,29.0,28.0,29.0,29.0,28.0,29.0
3,394463,3,"Chicago, IL",msa,IL,50.0,46.0,44.0,45.0,48.0,49.0,49.0,46.0,46.0,45.0,44.0,44.0,47.0,44.0,43.0,44.0,46.0,49.0,49.0,48.0,48.0,47.0,46.0,47.0,50.0,45.0,44.0,51.0,57.0,51.0,48.0,51.0,54.0,60.0,60.0,55.0,64.0,61.0,50.0,54.0,53.0,55.0,58.0,55.0,50.0,48.0,43.0,43.0,46.0,41.0,41.0,41.0,41.0,42.0,41.0,40.0,39.0
4,394514,4,"Dallas, TX",msa,TX,23.0,22.0,22.0,22.0,23.0,24.0,23.0,22.0,23.0,23.0,23.0,22.0,23.0,21.0,22.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,22.0,23.0,,24.0,25.0,26.0,26.0,27.0,26.0,27.0,26.0,27.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,25.0,23.0,23.0,28.0,28.0,29.0,29.0,28.0,29.0
5,394692,5,"Houston, TX",msa,TX,34.0,31.0,32.0,33.0,34.0,35.0,34.0,33.0,34.0,33.0,33.0,33.0,33.0,32.0,31.0,33.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,31.0,32.0,36.0,35.0,35.0,36.0,36.0,38.0,38.0,37.0,37.0,37.0,35.0,36.0,35.0,34.0,35.0,34.0,34.0,34.0,33.0,33.0,33.0,34.0,31.0,30.0,31.0,30.0,31.0,30.0,29.0,30.0
6,395209,6,"Washington, DC",msa,VA,47.0,29.0,24.0,25.0,29.0,33.0,39.0,39.0,40.0,37.0,38.0,39.0,42.0,37.0,36.0,36.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,45.0,38.0,36.0,39.0,40.0,38.0,37.0,37.0,38.0,31.0,37.0,39.0,43.0,38.0,34.0,35.0,34.0,35.0,35.0,36.0,37.0,36.0,36.0,36.0,41.0,33.0,30.0,31.0,31.0,34.0,33.0,33.0,33.0
7,394856,7,"Miami, FL",msa,FL,41.0,36.0,38.0,39.0,41.0,44.0,42.0,40.0,40.0,38.0,39.0,39.0,41.0,36.0,36.0,39.0,42.0,43.0,42.0,39.0,42.0,41.0,41.0,42.0,43.0,37.0,40.0,43.0,43.0,38.0,41.0,44.0,45.0,45.0,45.0,47.0,38.0,31.0,40.0,45.0,46.0,47.0,48.0,46.0,44.0,44.0,44.0,44.0,46.0,41.0,42.0,43.0,42.0,42.0,42.0,38.0,37.0
8,394974,8,"Philadelphia, PA",msa,PA,47.0,41.0,37.0,42.0,45.0,42.0,40.0,46.0,50.0,49.0,47.0,46.0,49.0,46.0,44.0,46.0,48.0,50.0,52.0,49.0,48.0,50.0,47.0,49.0,53.0,48.0,46.0,51.0,59.0,49.0,46.0,51.0,53.0,46.0,49.0,56.0,61.0,59.0,56.0,58.0,57.0,57.0,58.0,57.0,55.0,52.0,51.0,54.0,68.0,71.0,56.0,49.0,49.0,50.0,52.0,49.0,45.0
9,394347,9,"Atlanta, GA",msa,GA,33.0,30.0,30.0,31.0,32.0,33.0,31.0,31.0,31.0,31.0,31.0,29.0,31.0,30.0,29.0,31.0,32.0,32.0,32.0,31.0,32.0,31.0,31.0,31.0,32.0,30.0,30.0,31.0,30.0,31.0,31.0,32.0,32.0,32.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0,35.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0
