Fecha,StateName,DaysOnZillow
2018-01-31,AK,
2018-01-31,AL,130.0
2018-01-31,AR,124.0
2018-01-31,AZ,89.0
2018-01-31,CA,61.5
2018-01-31,CO,63.0
2018-01-31,CT,104.5
2018-01-31,DE,124.5
2018-01-31,FL,94.0
2018-01-31,GA,92.5
2018-01-31,HI,105.0
2018-01-31,IA,98.5
2018-01-31,ID,
2018-01-31,IL,125.0
2018-01-31,IN,90.0
2018-01-31,KS,94.0
2018-01-31,KY,98.0
2018-01-31,LA,124.5
2018-01-31,MA,107.0
2018-01-31,MD,115.5
2018-01-31,ME,103.0
2018-01-31,MI,107.5
2018-01-31,MN,111.0
2018-01-31,MO,99.0
2018-01-31,MS,126.0
2018-01-31,MT,
2018-01-31,NC,111.0
2018-01-31,ND,
2018-01-31,NE,70.0
2018-01-31,NH,99.0
2018-01-31,NJ,143.0
2018-01-31,NM,128.5
2018-01-31,NV,69.0
2018-01-31,NY,143.0
2018-01-31,OH,111.5
2018-01-31,OK,119.0
2018-01-31,OR,92.5
2018-01-31,PA,115.0
2018-01-31,RI,97.0
2018-01-31,SC,109.0
2018-01-31,SD,95.0
2018-01-31,TN,92.0
2018-01-31,TX,98.0
2018-01-31,UT,63.0
2018-01-31,VA,108.0
2018-01-31,WA,83.0
2018-01-31,WI,82.0
2018-01-31,WV,128.0
2018-01-31,WY,71.0
2018-02-28,AK,
2018-02-28,AL,61.0
2018-02-28,AR,95.0
2018-02-28,AZ,66.0
2018-02-28,CA,44.0
2018-02-28,CO,49.0
2018-02-28,CT,76.0
2018-02-28,DE,99.0
2018-02-28,FL,74.5
2018-02-28,GA,62.0
2018-02-28,HI,104.0
2018-02-28,IA,87.0
2018-02-28,ID,
2018-02-28,IL,125.0
2018-02-28,IN,72.0
2018-02-28,KS,88.0
2018-02-28,KY,75.5
2018-02-28,LA,93.0
2018-02-28,MA,69.0
2018-02-28,MD,96.5
2018-02-28,ME,76.0
2018-02-28,MI,79.5
2018-02-28,MN,86.5
2018-02-28,MO,107.0
2018-02-28,MS,110.5
2018-02-28,MT,
2018-02-28,NC,86.0
2018-02-28,ND,
2018-02-28,NE,60.5
2018-02-28,NH,76.0
2018-02-28,NJ,128.0
2018-02-28,NM,116.5
2018-02-28,NV,51.5
2018-02-28,NY,138.0
2018-02-28,OH,86.0
2018-02-28,OK,92.0
2018-02-28,OR,58.0
2018-02-28,PA,107.0
2018-02-28,RI,64.0
2018-02-28,SC,83.0
2018-02-28,SD,81.0
2018-02-28,TN,73.0
2018-02-28,TX,75.0
2018-02-28,UT,41.0
2018-02-28,VA,73.0
2018-02-28,WA,48.0
2018-02-28,WI,70.0
2018-02-28,WV,128.0
2018-02-28,WY,51.0
2018-03-31,AK,
2018-03-31,AL,56.5
2018-03-31,AR,66.0
2018-03-31,AZ,65.0
2018-03-31,CA,47.0
2018-03-31,CO,43.5
2018-03-31,CT,70.0
2018-03-31,DE,83.5
2018-03-31,FL,72.5
2018-03-31,GA,58.5
2018-03-31,HI,97.0
2018-03-31,IA,59.0
2018-03-31,ID,
2018-03-31,IL,78.0
2018-03-31,IN,63.0
2018-03-31,KS,62.5
2018-03-31,KY,64.5
2018-03-31,LA,94.0
2018-03-31,MA,63.0
2018-03-31,MD,85.0
2018-03-31,ME,60.0
2018-03-31,MI,58.5
2018-03-31,MN,64.0
2018-03-31,MO,75.5
2018-03-31,MS,78.5
2018-03-31,MT,
2018-03-31,NC,67.0
2018-03-31,ND,
2018-03-31,NE,54.0
2018-03-31,NH,55.0
2018-03-31,NJ,109.5
2018-03-31,NM,65.0
2018-03-31,NV,52.5
2018-03-31,NY,118.5
2018-03-31,OH,67.0
2018-03-31,OK,69.5
2018-03-31,OR,58.0
2018-03-31,PA,69.0
2018-03-31,RI,63.0
2018-03-31,SC,74.5
2018-03-31,SD,67.0
2018-03-31,TN,68.0
2018-03-31,TX,61.5
2018-03-31,UT,41.0
2018-03-31,VA,59.5
2018-03-31,WA,45.0
2018-03-31,WI,64.0
2018-03-31,WV,79.0
2018-03-31,WY,85.5
2018-04-30,AK,
2018-04-30,AL,63.5
2018-04-30,AR,70.0
2018-04-30,AZ,55.5
2018-04-30,CA,44.5
2018-04-30,CO,46.0
2018-04-30,CT,64.0
2018-04-30,DE,75.5
2018-04-30,FL,69.5
2018-04-30,GA,57.0
2018-04-30,HI,79.0
2018-04-30,IA,66.0
2018-04-30,ID,
2018-04-30,IL,65.0
2018-04-30,IN,50.0
2018-04-30,KS,54.0
2018-04-30,KY,61.5
2018-04-30,LA,80.0
2018-04-30,MA,57.0
2018-04-30,MD,74.0
2018-04-30,ME,59.0
2018-04-30,MI,54.5
2018-04-30,MN,61.5
2018-04-30,MO,63.5
2018-04-30,MS,94.0
2018-04-30,MT,
2018-04-30,NC,59.0
2018-04-30,ND,
2018-04-30,NE,49.5
2018-04-30,NH,53.0
2018-04-30,NJ,102.5
2018-04-30,NM,74.5
2018-04-30,NV,53.5
2018-04-30,NY,91.0
2018-04-30,OH,56.0
2018-04-30,OK,58.5
2018-04-30,OR,58.5
2018-04-30,PA,66.0
2018-04-30,RI,56.0
2018-04-30,SC,76.5
2018-04-30,SD,57.0
2018-04-30,TN,61.0
2018-04-30,TX,60.0
2018-04-30,UT,38.0
2018-04-30,VA,62.0
2018-04-30,WA,43.0
2018-04-30,WI,55.0
2018-04-30,WV,104.0
2018-04-30,WY,81.0
2018-05-31,AK,
2018-05-31,AL,63.5
2018-05-31,AR,61.5
2018-05-31,AZ,58.5
2018-05-31,CA,46.0
2018-05-31,CO,48.5
2018-05-31,CT,73.0
2018-05-31,DE,78.0
2018-05-31,FL,75.0
2018-05-31,GA,61.0
2018-05-31,HI,89.0
2018-05-31,IA,64.0
2018-05-31,ID,
2018-05-31,IL,72.0
2018-05-31,IN,51.0
2018-05-31,KS,59.0
2018-05-31,KY,59.5
2018-05-31,LA,85.0
2018-05-31,MA,58.0
2018-05-31,MD,66.0
2018-05-31,ME,56.0
2018-05-31,MI,50.5
2018-05-31,MN,56.0
2018-05-31,MO,63.5
2018-05-31,MS,66.0
2018-05-31,MT,
2018-05-31,NC,59.0
2018-05-31,ND,
2018-05-31,NE,55.5
2018-05-31,NH,55.0
2018-05-31,NJ,108.0
2018-05-31,NM,63.5
2018-05-31,NV,46.5
2018-05-31,NY,86.0
2018-05-31,OH,61.5
2018-05-31,OK,58.0
2018-05-31,OR,56.0
2018-05-31,PA,72.0
2018-05-31,RI,57.0
2018-05-31,SC,73.5
2018-05-31,SD,58.0
2018-05-31,TN,56.0
2018-05-31,TX,62.0
2018-05-31,UT,44.0
2018-05-31,VA,61.0
2018-05-31,WA,45.0
2018-05-31,WI,56.0
2018-05-31,WV,71.0
2018-05-31,WY,51.0
2018-06-30,AK,
2018-06-30,AL,59.5
2018-06-30,AR,71.5
2018-06-30,AZ,64.5
2018-06-30,CA,50.5
2018-06-30,CO,48.0
2018-06-30,CT,75.0
2018-06-30,DE,89.0
2018-06-30,FL,80.0
2018-06-30,GA,54.0
2018-06-30,HI,79.0
2018-06-30,IA,63.0
2018-06-30,ID,
2018-06-30,IL,68.0
2018-06-30,IN,61.5
2018-06-30,KS,55.5
2018-06-30,KY,58.5
2018-06-30,LA,74.0
2018-06-30,MA,64.0
2018-06-30,MD,66.0
2018-06-30,ME,61.0
2018-06-30,MI,55.5
2018-06-30,MN,60.0
2018-06-30,MO,66.0
2018-06-30,MS,86.0
2018-06-30,MT,
2018-06-30,NC,69.0
2018-06-30,ND,
2018-06-30,NE,62.0
2018-06-30,NH,59.0
2018-06-30,NJ,102.0
2018-06-30,NM,60.5
2018-06-30,NV,44.5
2018-06-30,NY,90.5
2018-06-30,OH,64.0
2018-06-30,OK,66.0
2018-06-30,OR,61.5
2018-06-30,PA,71.5
2018-06-30,RI,63.0
2018-06-30,SC,66.5
2018-06-30,SD,62.0
2018-06-30,TN,62.0
2018-06-30,TX,64.5
2018-06-30,UT,39.0
2018-06-30,VA,64.0
2018-06-30,WA,47.0
2018-06-30,WI,59.0
2018-06-30,WV,80.0
2018-06-30,WY,53.5
2018-07-31,AK,
2018-07-31,AL,65.5
2018-07-31,AR,70.5
2018-07-31,AZ,70.0
2018-07-31,CA,51.5
2018-07-31,CO,50.0
2018-07-31,CT,77.0
2018-07-31,DE,86.0
2018-07-31,FL,73.0
2018-07-31,GA,55.0
2018-07-31,HI,95.0
2018-07-31,IA,64.0
2018-07-31,ID,
2018-07-31,IL,73.0
2018-07-31,IN,60.5
2018-07-31,KS,63.0
2018-07-31,KY,62.0
2018-07-31,LA,83.0
2018-07-31,MA,66.0
2018-07-31,MD,80.0
2018-07-31,ME,62.0
2018-07-31,MI,63.5
2018-07-31,MN,63.5
