time,Precio2012,Precio2013,Precio2014,Precio2015,Precio2016,Precio2017,Precio2018,Precio2019,Precio2020
Ca,267758,338075,374525,396167,415425,438325,480600,494783,521550
Tx,149533,161650,170750,181858,192842,204883,214758,226658,238550
Ny,230658,249733,250067,251375,253475,263567,279725,294283,316800
Fl,122067,139867,150650,164617,179450,194867,216367,227817,245450
Il,132333,142575,157117,161108,158858,168408,182567,192292,197650
Pa,137933,141442,140733,144425,148175,154642,160175,168617,178650
Oh,98817,105908,112892,116692,122200,127700,133933,140967,149450
Mi,69808,88233,102158,115583,128042,137408,144950,153342,165250
Ga,98475,121117,134217,150400,157192,167133,180725,196350,210300
NC,142017,147400,150983,162592,167842,174067,189108,202042,219000
NJ,256808,266617,271733,269775,264625,265600,271492,289592,314050
Va,223567,239892,238575,244900,244242,252308,257767,269658,277700
Wa,218392,239992,250283,268500,290958,318200,345950,370833,402250
Ma,281817,304017,316175,324250,329975,347083,367975,383808,398650
In,107700,114550,113292,123800,129900,136317,145317,155017,161300
Az,125767,150417,159317,172583,190008,206700,227850,243717,262550
Tn,114250,121658,129383,138708,148350,161300,173483,188142,205000
Mo,116117,123800,130192,139508,143775,148733,155942,165242,173000
Md,216483,229392,237650,237542,245400,254000,262342,270392,281250
Wi,127933,137275,139683,148917,154808,161633,172467,181317,194800
Mn,146225,162575,172950,187208,197900,208133,221525,237392,251500
Co,209650,230025,242775,268033,294250,321675,349342,367350,382650
Al,110717,116425,118492,123658,129875,136658,149100,156992,169050
SC,124517,132342,138992,150850,158708,164617,176592,185142,195250
La,137933,144500,148208,156858,162025,165083,169517,173692,182650
