RegionID,RegionName,SizeRank,Precio-2012,Precio-2013,Precio-2014,Precio-2015,Precio-2016,Precio-2017,Precio-2018,Precio-2019,Precio-2020
9,California,1,267758,338075,374525,396167,415425,438325,480600,494783,521550
54,Texas,2,149533,161650,170750,181858,192842,204883,214758,226658,238550
43,New York,3,230658,249733,250067,251375,253475,263567,279725,294283,316800
14,Florida,4,122067,139867,150650,164617,179450,194867,216367,227817,245450
21,Illinois,5,132333,142575,157117,161108,158858,168408,182567,192292,197650
47,Pennsylvania,6,137933,141442,140733,144425,148175,154642,160175,168617,178650
44,Ohio,7,98817,105908,112892,116692,122200,127700,133933,140967,149450
30,Michigan,8,69808,88233,102158,115583,128042,137408,144950,153342,165250
16,Georgia,9,98475,121117,134217,150400,157192,167133,180725,196350,210300
36,North Carolina,10,142017,147400,150983,162592,167842,174067,189108,202042,219000
40,New Jersey,11,256808,266617,271733,269775,264625,265600,271492,289592,314050
56,Virginia,12,223567,239892,238575,244900,244242,252308,257767,269658,277700
59,Washington,13,218392,239992,250283,268500,290958,318200,345950,370833,402250
26,Massachusetts,14,281817,304017,316175,324250,329975,347083,367975,383808,398650
22,Indiana,15,107700,114550,113292,123800,129900,136317,145317,155017,161300
8,Arizona,16,125767,150417,159317,172583,190008,206700,227850,243717,262550
53,Tennessee,17,114250,121658,129383,138708,148350,161300,173483,188142,205000
32,Missouri,18,116117,123800,130192,139508,143775,148733,155942,165242,173000
27,Maryland,19,216483,229392,237650,237542,245400,254000,262342,270392,281250
60,Wisconsin,20,127933,137275,139683,148917,154808,161633,172467,181317,194800
31,Minnesota,21,146225,162575,172950,187208,197900,208133,221525,237392,251500
10,Colorado,22,209650,230025,242775,268033,294250,321675,349342,367350,382650
4,Alabama,23,110717,116425,118492,123658,129875,136658,149100,156992,169050
51,South Carolina,24,124517,132342,138992,150850,158708,164617,176592,185142,195250
25,Louisiana,25,137933,144500,148208,156858,162025,165083,169517,173692,182650
24,Kentucky,26,114642,115517,120058,132025,138500,143492,149492,158750,168300
46,Oregon,27,193950,221883,236583,251333,272275,297658,321025,337792,357300
45,Oklahoma,28,110933,118867,123633,128992,129850,132783,135250,147433,153250
11,Connecticut,29,223458,226458,222108,218950,221367,226517,238208,240575,256800
19,Iowa,30,113725,120867,121350,129792,134858,137933,142500,152308,159800
34,Mississippi,31,0,0,0,0,143325,148792,156192,162733,173250
6,Arkansas,32,121158,124100,119583,127242,129350,134275,138908,146567,155750
23,Kansas,33,146667,152025,153075,160217,161967,167025,175600,187467,197800
55,Utah,34,182267,203517,211550,222925,238683,258500,285192,308242,327850
42,Nevada,35,123125,157842,179667,200317,210275,235992,267750,284433,297500
41,New Mexico,36,168892,171267,172600,175850,180367,185792,189317,205683,217950
61,West Virginia,37,102950,110817,110325,130183,133450,132617,134183,140667,145350
38,Nebraska,38,127617,130492,133208,140775,147233,154167,165150,179125,184900
20,Idaho,39,138575,156408,164358,175992,188842,205817,233375,258350,281450
18,Hawaii,40,394267,423392,435633,450133,485433,513217,534025,568733,601200
28,Maine,41,0,0,0,0,0,201757,214250,225492,236000
39,New Hampshire,42,0,0,0,0,0,245200,254758,267817,281650
50,Rhode Island,43,0,0,0,0,0,238071,245692,258183,280150
35,Montana,44,188300,201058,211942,223692,234000,248475,264792,289533,301200
13,Delaware,45,181400,191100,194700,201825,213000,219342,224600,232017,241100
52,South Dakota,46,139675,149058,155925,174333,178792,184467,196325,205500,211700
37,North Dakota,47,169767,185000,199475,210383,214508,214575,212150,219242,219850
12,District of Columbia,48,402150,452158,474350,496583,512058,525233,520950,547475,577900
62,Wyoming,49,183342,191258,197733,207417,207400,212983,217567,232233,240150
